==> installing Atari ROMs (idempotent)
AutoROM will download the Atari 2600 ROMs.
They will be installed to:
	/home/vestjejj/NoisyNetworks/.venv/lib/python3.11/site-packages/AutoROM/roms

Existing ROMs will be overwritten.
==> skipping asterix_base_noisy (already done)
==> skipping asterix_base_baseline (already done)
==> skipping asterix_ddqn_noisy (already done)
==> skipping asterix_ddqn_baseline (already done)

==========================================
==> starting: asterix_per_noisy
==========================================
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
step    10000 | reward(last100)    1.79 | sigma 0.0155 | elapsed   23.3s
step    20000 | reward(last100)    1.82 | sigma 0.0155 | elapsed   47.4s
step    30000 | reward(last100)    1.58 | sigma 0.0154 | elapsed   94.6s
step    40000 | reward(last100)    1.98 | sigma 0.0153 | elapsed  140.7s
step    50000 | reward(last100)    1.44 | sigma 0.0151 | elapsed  187.8s
step    60000 | reward(last100)    1.62 | sigma 0.0149 | elapsed  238.0s
step    70000 | reward(last100)    1.24 | sigma 0.0147 | elapsed  285.5s
step    80000 | reward(last100)    1.67 | sigma 0.0146 | elapsed  332.5s
step    90000 | reward(last100)    1.96 | sigma 0.0144 | elapsed  379.7s
step   100000 | reward(last100)    1.73 | sigma 0.0142 | elapsed  428.6s
step   110000 | reward(last100)    2.01 | sigma 0.0141 | elapsed  476.9s
step   120000 | reward(last100)    1.90 | sigma 0.0140 | elapsed  525.2s
step   130000 | reward(last100)    2.12 | sigma 0.0138 | elapsed  574.9s
step   140000 | reward(last100)    2.37 | sigma 0.0137 | elapsed  623.6s
step   150000 | reward(last100)    2.86 | sigma 0.0136 | elapsed  671.0s
step   160000 | reward(last100)    2.81 | sigma 0.0134 | elapsed  721.8s
step   170000 | reward(last100)    3.26 | sigma 0.0133 | elapsed  772.2s
step   180000 | reward(last100)    3.44 | sigma 0.0132 | elapsed  821.8s
step   190000 | reward(last100)    3.03 | sigma 0.0131 | elapsed  870.2s
step   200000 | reward(last100)    3.07 | sigma 0.0129 | elapsed  919.5s
step   210000 | reward(last100)    3.28 | sigma 0.0128 | elapsed  968.9s
step   220000 | reward(last100)    3.07 | sigma 0.0127 | elapsed 1016.8s
step   230000 | reward(last100)    3.75 | sigma 0.0126 | elapsed 1069.5s
step   240000 | reward(last100)    3.15 | sigma 0.0125 | elapsed 1118.5s
step   250000 | reward(last100)    2.88 | sigma 0.0124 | elapsed 1165.0s
step   260000 | reward(last100)    3.39 | sigma 0.0123 | elapsed 1212.7s
step   270000 | reward(last100)    4.05 | sigma 0.0121 | elapsed 1260.6s
step   280000 | reward(last100)    3.94 | sigma 0.0120 | elapsed 1313.0s
step   290000 | reward(last100)    4.44 | sigma 0.0120 | elapsed 1361.1s
step   300000 | reward(last100)    4.56 | sigma 0.0119 | elapsed 1410.1s
step   310000 | reward(last100)    4.84 | sigma 0.0117 | elapsed 1459.4s
step   320000 | reward(last100)    4.88 | sigma 0.0117 | elapsed 1508.1s
step   330000 | reward(last100)    4.52 | sigma 0.0116 | elapsed 1556.5s
step   340000 | reward(last100)    4.57 | sigma 0.0115 | elapsed 1604.8s
step   350000 | reward(last100)    4.60 | sigma 0.0114 | elapsed 1652.7s
step   360000 | reward(last100)    4.95 | sigma 0.0114 | elapsed 1700.6s
step   370000 | reward(last100)    4.61 | sigma 0.0113 | elapsed 1749.8s
step   380000 | reward(last100)    5.35 | sigma 0.0112 | elapsed 1798.6s
step   390000 | reward(last100)    4.18 | sigma 0.0112 | elapsed 1847.3s
step   400000 | reward(last100)    5.67 | sigma 0.0111 | elapsed 1895.9s
step   410000 | reward(last100)    6.08 | sigma 0.0111 | elapsed 1944.8s
step   420000 | reward(last100)    5.60 | sigma 0.0110 | elapsed 1993.6s
step   430000 | reward(last100)    5.04 | sigma 0.0109 | elapsed 2042.2s
step   440000 | reward(last100)    5.65 | sigma 0.0109 | elapsed 2090.8s
step   450000 | reward(last100)    5.77 | sigma 0.0108 | elapsed 2138.5s
step   460000 | reward(last100)    5.95 | sigma 0.0107 | elapsed 2186.2s
step   470000 | reward(last100)    5.33 | sigma 0.0107 | elapsed 2234.5s
step   480000 | reward(last100)    4.75 | sigma 0.0106 | elapsed 2285.8s
step   490000 | reward(last100)    5.46 | sigma 0.0106 | elapsed 2334.5s
step   500000 | reward(last100)    6.09 | sigma 0.0105 | elapsed 2383.2s
step   510000 | reward(last100)    5.73 | sigma 0.0105 | elapsed 2434.3s
step   520000 | reward(last100)    6.26 | sigma 0.0104 | elapsed 2484.6s
step   530000 | reward(last100)    6.79 | sigma 0.0104 | elapsed 2534.1s
step   540000 | reward(last100)    6.43 | sigma 0.0104 | elapsed 2583.7s
step   550000 | reward(last100)    5.05 | sigma 0.0103 | elapsed 2634.0s
step   560000 | reward(last100)    6.21 | sigma 0.0103 | elapsed 2685.4s
step   570000 | reward(last100)    7.26 | sigma 0.0103 | elapsed 2736.0s
step   580000 | reward(last100)    7.12 | sigma 0.0102 | elapsed 2786.7s
step   590000 | reward(last100)    7.25 | sigma 0.0102 | elapsed 2836.3s
step   600000 | reward(last100)    6.85 | sigma 0.0102 | elapsed 2886.3s
step   610000 | reward(last100)    7.40 | sigma 0.0102 | elapsed 2934.2s
step   620000 | reward(last100)    7.00 | sigma 0.0101 | elapsed 2984.7s
step   630000 | reward(last100)    7.36 | sigma 0.0101 | elapsed 3036.1s
step   640000 | reward(last100)    7.76 | sigma 0.0101 | elapsed 3090.7s
step   650000 | reward(last100)    8.26 | sigma 0.0100 | elapsed 3150.8s
step   660000 | reward(last100)    8.72 | sigma 0.0100 | elapsed 3211.1s
step   670000 | reward(last100)    9.11 | sigma 0.0100 | elapsed 3271.8s
step   680000 | reward(last100)    9.28 | sigma 0.0099 | elapsed 3333.6s
step   690000 | reward(last100)    8.50 | sigma 0.0099 | elapsed 3399.5s
step   700000 | reward(last100)    8.83 | sigma 0.0099 | elapsed 3463.7s
step   710000 | reward(last100)    9.50 | sigma 0.0098 | elapsed 3526.7s
step   720000 | reward(last100)    8.92 | sigma 0.0098 | elapsed 3590.8s
step   730000 | reward(last100)    9.39 | sigma 0.0098 | elapsed 3655.0s
step   740000 | reward(last100)    9.91 | sigma 0.0097 | elapsed 3720.5s
step   750000 | reward(last100)    9.86 | sigma 0.0097 | elapsed 3789.3s
step   760000 | reward(last100)   10.79 | sigma 0.0097 | elapsed 3853.5s
step   770000 | reward(last100)   12.43 | sigma 0.0097 | elapsed 3917.1s
step   780000 | reward(last100)   11.71 | sigma 0.0097 | elapsed 3981.5s
step   790000 | reward(last100)   11.02 | sigma 0.0096 | elapsed 4044.5s
step   800000 | reward(last100)   12.21 | sigma 0.0096 | elapsed 4108.5s
step   810000 | reward(last100)   12.38 | sigma 0.0096 | elapsed 4171.4s
step   820000 | reward(last100)   12.30 | sigma 0.0095 | elapsed 4232.8s
step   830000 | reward(last100)   13.16 | sigma 0.0095 | elapsed 4293.4s
step   840000 | reward(last100)   12.81 | sigma 0.0095 | elapsed 4354.0s
step   850000 | reward(last100)   13.20 | sigma 0.0095 | elapsed 4415.8s
step   860000 | reward(last100)   12.64 | sigma 0.0095 | elapsed 4475.8s
step   870000 | reward(last100)   13.46 | sigma 0.0094 | elapsed 4534.7s
step   880000 | reward(last100)   13.54 | sigma 0.0094 | elapsed 4593.8s
step   890000 | reward(last100)   14.12 | sigma 0.0094 | elapsed 4653.5s
step   900000 | reward(last100)   14.53 | sigma 0.0094 | elapsed 4711.8s
step   910000 | reward(last100)   14.94 | sigma 0.0093 | elapsed 4769.5s
step   920000 | reward(last100)   15.31 | sigma 0.0093 | elapsed 4829.5s
step   930000 | reward(last100)   15.62 | sigma 0.0093 | elapsed 4887.8s
step   940000 | reward(last100)   15.64 | sigma 0.0093 | elapsed 4949.2s
step   950000 | reward(last100)   15.96 | sigma 0.0093 | elapsed 5010.5s
step   960000 | reward(last100)   16.43 | sigma 0.0093 | elapsed 5070.2s
step   970000 | reward(last100)   16.75 | sigma 0.0093 | elapsed 5131.7s
step   980000 | reward(last100)   16.40 | sigma 0.0092 | elapsed 5195.2s
step   990000 | reward(last100)   14.96 | sigma 0.0092 | elapsed 5255.1s
step  1000000 | reward(last100)   15.48 | sigma 0.0092 | elapsed 5313.7s
step  1010000 | reward(last100)   14.98 | sigma 0.0092 | elapsed 5375.4s
step  1020000 | reward(last100)   15.67 | sigma 0.0092 | elapsed 5435.9s
step  1030000 | reward(last100)   15.57 | sigma 0.0091 | elapsed 5497.3s
step  1040000 | reward(last100)   15.97 | sigma 0.0091 | elapsed 5557.3s
step  1050000 | reward(last100)   15.88 | sigma 0.0091 | elapsed 5618.6s
step  1060000 | reward(last100)   15.72 | sigma 0.0091 | elapsed 5679.9s
step  1070000 | reward(last100)   15.23 | sigma 0.0091 | elapsed 5738.6s
step  1080000 | reward(last100)   15.53 | sigma 0.0091 | elapsed 5799.1s
step  1090000 | reward(last100)   15.72 | sigma 0.0091 | elapsed 5859.8s
step  1100000 | reward(last100)   16.58 | sigma 0.0091 | elapsed 5922.7s
step  1110000 | reward(last100)   16.78 | sigma 0.0091 | elapsed 5985.9s
step  1120000 | reward(last100)   16.60 | sigma 0.0091 | elapsed 6043.9s
step  1130000 | reward(last100)   16.32 | sigma 0.0091 | elapsed 6100.6s
step  1140000 | reward(last100)   16.07 | sigma 0.0090 | elapsed 6155.8s
step  1150000 | reward(last100)   16.17 | sigma 0.0091 | elapsed 6211.9s
step  1160000 | reward(last100)   16.48 | sigma 0.0090 | elapsed 6267.7s
step  1170000 | reward(last100)   16.85 | sigma 0.0090 | elapsed 6323.7s
step  1180000 | reward(last100)   16.81 | sigma 0.0090 | elapsed 6379.9s
step  1190000 | reward(last100)   17.09 | sigma 0.0090 | elapsed 6435.5s
step  1200000 | reward(last100)   16.74 | sigma 0.0090 | elapsed 6491.4s
step  1210000 | reward(last100)   16.36 | sigma 0.0090 | elapsed 6549.9s
step  1220000 | reward(last100)   16.43 | sigma 0.0090 | elapsed 6605.6s
step  1230000 | reward(last100)   16.19 | sigma 0.0090 | elapsed 6660.6s
step  1240000 | reward(last100)   16.59 | sigma 0.0090 | elapsed 6715.3s
step  1250000 | reward(last100)   16.65 | sigma 0.0090 | elapsed 6769.4s
step  1260000 | reward(last100)   17.02 | sigma 0.0090 | elapsed 6825.3s
step  1270000 | reward(last100)   16.88 | sigma 0.0090 | elapsed 6878.5s
step  1280000 | reward(last100)   16.94 | sigma 0.0089 | elapsed 6924.3s
step  1290000 | reward(last100)   17.02 | sigma 0.0089 | elapsed 6971.9s
step  1300000 | reward(last100)   17.05 | sigma 0.0089 | elapsed 7019.5s
step  1310000 | reward(last100)   16.67 | sigma 0.0089 | elapsed 7067.1s
step  1320000 | reward(last100)   16.77 | sigma 0.0089 | elapsed 7114.7s
step  1330000 | reward(last100)   16.79 | sigma 0.0089 | elapsed 7162.5s
step  1340000 | reward(last100)   17.16 | sigma 0.0089 | elapsed 7210.3s
step  1350000 | reward(last100)   17.30 | sigma 0.0089 | elapsed 7258.1s
step  1360000 | reward(last100)   16.81 | sigma 0.0089 | elapsed 7306.0s
step  1370000 | reward(last100)   16.78 | sigma 0.0089 | elapsed 7354.0s
